Date,Mkt-RF,SMB,HML,RF
2008-11-13,6.79,0.66,0.03,0.001
2008-11-14,-4.27,-2.22,-0.05,0.001
2008-11-17,-2.43,1.88,-1.74,0.001
2008-11-18,0.7,-1.28,-0.64,0.001
2008-11-19,-6.29,0,-2.96,0.001
2008-11-20,-6.6,1.74,-2.49,0.001
2008-11-21,6.11,-1.16,-2.21,0.001
2008-11-24,6.27,-1.48,4.72,0.001
2008-11-25,0.94,0,2.2,0.001
2008-11-26,3.88,1.68,0.21,0.001
2008-11-28,1.06,-0.6,1.72,0.001
2008-12-01,-8.95,-0.61,-3.63,0
2008-12-02,3.97,0.66,2.45,0
2008-12-03,2.63,-0.23,1.5,0
2008-12-04,-2.9,-0.01,1.2,0
2008-12-05,3.75,0,1.92,0
2008-12-08,3.8,-0.32,0.04,0
2008-12-09,-2.23,-0.58,-1.1,0
2008-12-10,1.2,1.04,-0.93,0
2008-12-11,-2.93,-1.15,-2.17,0
2008-12-12,0.96,2.28,0.7,0
2008-12-15,-1.54,-1.2,-1.31,0
2008-12-16,5.14,-0.27,2.52,0
2008-12-17,-0.62,1.75,-0.57,0
2008-12-18,-1.83,0.81,-0.16,0
2008-12-19,0.35,0.81,-0.18,0
2008-12-22,-1.87,-0.02,-0.86,0
2008-12-23,-0.89,-0.08,-0.7,0
2008-12-24,0.51,-0.35,0.64,0
2008-12-26,0.63,0.6,0.04,0
2008-12-29,-0.56,-1.46,0.04,0
2008-12-30,2.47,0.54,1,0
2008-12-31,1.7,1.51,0.77,0
2009-01-02,3.11,-1.28,-0.46,0
2009-01-05,-0.28,0.71,-1.14,0
2009-01-06,0.87,1.01,0.84,0
2009-01-07,-2.96,0.38,-1.19,0
2009-01-08,0.47,0.72,0.35,0
2009-01-09,-2.21,-1.38,-1.19,0
2009-01-12,-2.28,0.4,-1.94,0
2009-01-13,0.28,0.32,0.43,0
2009-01-14,-3.38,-0.51,-1.26,0
2009-01-15,0.39,2.32,-2.28,0
2009-01-16,0.74,0.51,-1.11,0
2009-01-20,-5.34,0.28,-4.09,0
2009-01-21,4.21,-1.36,2.84,0
2009-01-22,-1.62,-0.89,-1.76,0
2009-01-23,0.44,-0.61,1.12,0
2009-01-26,0.54,0.81,-0.64,0
2009-01-27,1.08,-0.38,0.34,0
2009-01-28,3.32,-0.71,2.8,0
2009-01-29,-3.23,-0.12,-2.2,0
2009-01-30,-2.16,0.21,-1.15,0
2009-02-02,0.06,1.26,-0.39,0.001
2009-02-03,1.46,-0.13,-2.39,0.001
2009-02-04,-0.6,-0.21,-0.34,0.001
2009-02-05,1.61,0.11,-0.12,0.001
2009-02-06,2.79,-0.18,2.4,0.001
2009-02-09,0.03,-0.84,0.04,0.001
2009-02-10,-4.62,1.13,-2.82,0.001
2009-02-11,0.75,-0.78,1.24,0.001
2009-02-12,0.3,0.32,-0.54,0.001
2009-02-13,-0.85,1,-1.49,0.001
2009-02-17,-4.36,1.09,-2.35,0.001
2009-02-18,-0.33,-0.84,-0.75,0.001
2009-02-19,-1.15,0,-2,0.001
2009-02-20,-1.16,-0.04,-0.88,0.001
2009-02-23,-3.43,-0.52,0.83,0.001
2009-02-24,4,-1.05,3.03,0.001
2009-02-25,-1.15,-1.51,0.33,0.001
2009-02-26,-1.53,-0.5,1.35,0.001
2009-02-27,-2.01,1.85,-2.08,0.001
2009-03-02,-4.75,-0.24,-0.24,0.001
2009-03-03,-0.71,-0.66,-2.34,0.001
2009-03-04,2.42,0.53,-0.91,0.001
2009-03-05,-4.21,-0.36,-3.09,0.001
2009-03-06,0.2,0.41,-0.62,0.001
2009-03-09,-1.09,-0.87,0.26,0.001
2009-03-10,6.35,-0.99,4.19,0.001
2009-03-11,0.3,-0.59,0.61,0.001
2009-03-12,4.16,1.09,2.54,0.001
2009-03-13,0.74,0.2,0.46,0.001
2009-03-16,-0.55,-1.01,0.35,0.001
2009-03-17,3.2,0.58,1.53,0.001
2009-03-18,2.18,-0.03,3.98,0.001
2009-03-19,-1.03,1.09,-2.71,0.001
2009-03-20,-1.95,-0.3,-0.89,0.001
2009-03-23,6.89,-0.83,4.22,0.001
2009-03-24,-1.93,-1.02,-1.75,0.001
2009-03-25,0.94,0.91,1.37,0.001
2009-03-26,2.68,1.95,-0.13,0.001
2009-03-27,-2.06,-1.33,0.22,0.001
2009-03-30,-3.47,1.81,-3.85,0.001
2009-03-31,1.29,-0.67,1.77,0.001
2009-04-01,1.65,-0.53,1.5,0.001
2009-04-02,3.07,1.91,0.49,0.001
2009-04-03,1.02,-0.14,0.93,0.001
2009-04-06,-0.93,-0.5,-0.81,0.001
2009-04-07,-2.42,-0.77,-0.11,0.001
2009-04-08,1.28,1.09,0,0.001
2009-04-09,3.91,0.18,4.5,0.001
2009-04-13,0.26,-0.98,2.3,0.001
2009-04-14,-2.02,0.06,-2.94,0.001
2009-04-15,1.12,-0.24,2.4,0.001
2009-04-16,1.69,1.28,0.01,0.001
2009-04-17,0.55,0.83,0.28,0.001
2009-04-20,-4.32,0.18,-4.31,0.001
2009-04-21,2.19,0.72,3.08,0.001
2009-04-22,-0.61,1.62,-1.25,0.001
2009-04-23,0.66,-1.84,0.24,0.001
2009-04-24,1.77,0.83,0.06,0.001
2009-04-27,-0.95,-0.37,-1.76,0.001
2009-04-28,-0.21,0.89,0.11,0.001
2009-04-29,2.41,0.71,1.18,0.001
2009-04-30,-0.04,-0.34,-0.68,0.001
2009-05-01,0.45,-0.5,-0.24,0
2009-05-04,3.36,-0.52,3.08,0
2009-05-05,-0.27,0.21,-0.22,0
2009-05-06,1.45,-2.17,2.65,0
2009-05-07,-1.42,-0.73,-0.8,0
2009-05-08,2.48,0.12,2.92,0
2009-05-11,-2.01,1.29,-2.46,0
2009-05-12,-0.31,-0.85,-1.46,0
2009-05-13,-2.91,-1.46,-1.49,0
2009-05-14,1.11,0.49,1.01,0
2009-05-15,-1.02,0.63,-1.16,0
2009-05-18,3.13,0.24,2.09,0
2009-05-19,-0.05,0.27,-1.34,0
2009-05-20,-0.48,0.02,-1.14,0
2009-05-21,-1.68,-0.11,0.37,0
2009-05-22,-0.15,-0.35,-0.56,0
2009-05-26,2.78,1.48,0.66,0
2009-05-27,-1.8,0.27,-1.25,0
2009-05-28,1.35,-1.39,0.48,0
2009-05-29,1.38,0.55,-0.18,0
2009-06-01,2.72,1.61,-0.82,0
2009-06-02,0.29,0.86,-0.23,0
